,PERSON_ID,PLAYER_NAME,TEAM_NAME,TEAM_ABBREVIATION,JERSEY_NUMBER,POSITION,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,PTS,REB,AST,FROM_YEAR,TO_YEAR,QUEER
944,1628922,Azurá Stevens,Los Angeles Sparks,LAS,23,F-C,6-6,180,Connecticut,USA,2018.0,1.0,6.0,9.6,7.0,1.9,2018,2025,
946,1627668,Breanna Stewart,New York Liberty,NYL,30,F,6-4,170,Connecticut,USA,2016.0,1.0,1.0,20.4,8.5,3.5,2016,2025,1.0
952,204329,Kiah Stokes,Las Vegas Aces,LVA,41,C,6-3,191,Connecticut,USA,2015.0,1.0,11.0,1.4,4.7,0.7,2015,2025,
958,1630134,Sug Sutton,Washington Mystics,WAS,1,G,5-8,140,Texas-Austin,USA,2020.0,3.0,36.0,2.3,1.0,2.1,2020,2025,1.0
964,1628279,Brittney Sykes,Washington Mystics,WAS,20,G,5-9,154,Syracuse,USA,2017.0,1.0,7.0,12.2,4.1,3.1,2017,2025,1.0
965,203855,Stephanie Talbot,Los Angeles Sparks,LAS,7,F,6-2,192,Adelaide,Australia,2014.0,3.0,33.0,3.5,2.7,2.1,2017,2025,
968,100940,Diana Taurasi,Phoenix Mercury,PHO,3,G,6-0,163,Connecticut,USA,2004.0,1.0,1.0,14.9,3.8,3.4,2004,2024,
970,1642298,Celeste Taylor,Phoenix Mercury,PHO,12,G,5-11,167,Ohio State,USA,2024.0,2.0,15.0,2.6,1.3,1.3,2024,2024,
977,203826,Alyssa Thomas,Connecticut Sun,CON,25,F,6-2,203,Maryland,USA,2014.0,1.0,4.0,10.6,8.4,7.9,2014,2025,1.0
990,203866,Kayla Thornton,New York Liberty,NYL,5,F,6-1,190,Texas-El Paso,USA,,,,5.5,2.6,0.7,2015,2025,
1009,1629488,Brianna Turner,Chicago Sky,CHI,21,F-C,6-3,175,Notre Dame,USA,2019.0,1.0,11.0,1.2,2.0,0.4,2019,2025,
1017,1642244,Sevgi Uzun,Dallas Wings,DAL,1,G,5-10,141,-,Turkey,,,,4.4,1.6,3.0,2024,2025,1.0
1022,202664,Courtney Vandersloot,New York Liberty,NYL,22,G,5-8,137,Gonzaga,USA,2011.0,1.0,3.0,6.4,2.6,4.8,2011,2025,1.0
1023,1642210,Julie Vanloo,Washington Mystics,WAS,35,G,5-8,,-,Belgium,,,,7.4,1.6,4.3,2024,2025,
1030,1628927,Victoria Vivians,Seattle Storm,SEA,35,G-F,6-1,197,Mississippi State,USA,2018.0,1.0,8.0,3.1,2.0,0.8,2018,2024,
1040,1628278,Shatori Walker-Kimbrough,Washington Mystics,WAS,32,G,5-9,140,Maryland,USA,2017.0,1.0,6.0,7.5,1.7,1.9,2017,2025,
1041,1628929,Kristy Wallace,Indiana Fever,IND,3,G,5-11,157,Baylor,Australia,2018.0,2.0,16.0,4.7,1.8,1.7,2022,2024,
1056,204365,Erica Wheeler,Indiana Fever,IND,17,G,5-7,143,Rutgers,USA,,,,3.6,1.4,1.8,2015,2025,1.0
1057,1628244,Sami Whitcomb,Seattle Storm,SEA,32,G,5-10,149,Washington,Australia,,,,5.0,1.9,1.6,2017,2025,1.0
1075,1627675,Courtney Williams,Minnesota Lynx,MIN,10,G,5-8,148,South Florida,USA,2016.0,1.0,8.0,11.1,4.7,5.5,2016,2025,1.0
1077,204322,Elizabeth Williams,Chicago Sky,CHI,1,C-F,6-3,200,Duke,United Kingdom,2015.0,1.0,4.0,10.0,7.0,1.6,2015,2025,
1078,1628931,Gabby Williams,Seattle Storm,SEA,5,F,5-11,172,Connecticut,USA,2018.0,1.0,4.0,10.3,4.0,3.7,2018,2025,1.0
1095,1628932,A'ja Wilson,Las Vegas Aces,LVA,22,C,6-4,195,South Carolina,USA,2018.0,1.0,1.0,26.9,11.9,2.3,2018,2025,
1117,1629498,Jackie Young,Las Vegas Aces,LVA,0,G,6-0,165,Notre Dame,USA,2019.0,1.0,1.0,15.8,4.4,5.3,2019,2025,
1121,1629574,Li Yueru,Los Angeles Sparks,LAS,28,C,6-7,,,China,2019.0,3.0,35.0,5.1,3.7,0.6,2022,2025,
1124,1628508,Cecilia Zandalasini,Minnesota Lynx,MIN,9,F,6-2,175,PF Schio,Italy,,,,4.6,1.2,1.1,2017,2025,
1134,1630151,Olivia Époupa,Minnesota Lynx,MIN,0,G,5-5,122,,France,,,,0.8,1.1,1.5,2024,2024,
